Fecha,Provincia,Diario,Acumulado
05/03/2020,Buenos Aires,0,0
05/03/2020,Ciudad de Buenos Aires,1,1
05/03/2020,Catamarca,0,0
05/03/2020,Chaco,0,0
05/03/2020,Chubut,0,0
05/03/2020,Córdoba,0,0
05/03/2020,Corrientes,0,0
05/03/2020,Entre Ríos,0,0
05/03/2020,Formosa,0,0
05/03/2020,Jujuy,0,0
05/03/2020,La Pampa,0,0
05/03/2020,La Rioja,0,0
05/03/2020,Mendoza,0,0
05/03/2020,Misiones,0,0
05/03/2020,Neuquén,0,0
05/03/2020,Río Negro,0,0
05/03/2020,Salta,0,0
05/03/2020,San Juan,0,0
05/03/2020,San Luis,0,0
05/03/2020,Santa Cruz,0,0
05/03/2020,Santa Fe,0,0
05/03/2020,Santiago del Estero,0,0
05/03/2020,Tierra del Fuego,0,0
05/03/2020,Tucumán,0,0
06/03/2020,Buenos Aires,0,0
06/03/2020,Ciudad de Buenos Aires,1,2
06/03/2020,Catamarca,0,0
06/03/2020,Chaco,0,0
06/03/2020,Chubut,0,0
06/03/2020,Córdoba,0,0
06/03/2020,Corrientes,0,0
06/03/2020,Entre Ríos,0,0
06/03/2020,Formosa,0,0
06/03/2020,Jujuy,0,0
06/03/2020,La Pampa,0,0
06/03/2020,La Rioja,0,0
06/03/2020,Mendoza,0,0
06/03/2020,Misiones,0,0
06/03/2020,Neuquén,0,0
06/03/2020,Río Negro,0,0
06/03/2020,Salta,0,0
06/03/2020,San Juan,0,0
06/03/2020,San Luis,0,0
06/03/2020,Santa Cruz,0,0
06/03/2020,Santa Fe,0,0
06/03/2020,Santiago del Estero,0,0
06/03/2020,Tierra del Fuego,0,0
06/03/2020,Tucumán,0,0
07/03/2020,Buenos Aires,0,0
07/03/2020,Ciudad de Buenos Aires,0,0
07/03/2020,Catamarca,0,0
07/03/2020,Chaco,0,0
07/03/2020,Chubut,0,0
07/03/2020,Córdoba,0,0
07/03/2020,Corrientes,0,0
07/03/2020,Entre Ríos,0,0
07/03/2020,Formosa,0,0
07/03/2020,Jujuy,0,0
07/03/2020,La Pampa,0,0
07/03/2020,La Rioja,0,0
07/03/2020,Mendoza,0,0
07/03/2020,Misiones,0,0
07/03/2020,Neuquén,0,0
07/03/2020,Río Negro,0,0
07/03/2020,Salta,0,0
07/03/2020,San Juan,0,0
07/03/2020,San Luis,0,0
07/03/2020,Santa Cruz,0,0
07/03/2020,Santa Fe,0,0
07/03/2020,Santiago del Estero,0,0
07/03/2020,Tierra del Fuego,0,0
07/03/2020,Tucumán,0,0
08/03/2020,Buenos Aires,1,1
08/03/2020,Ciudad de Buenos Aires,2,11
08/03/2020,Catamarca,0,0
08/03/2020,Chaco,0,0
08/03/2020,Chubut,0,0
08/03/2020,Córdoba,0,0
08/03/2020,Corrientes,0,0
08/03/2020,Entre Ríos,0,0
08/03/2020,Formosa,0,0
08/03/2020,Jujuy,0,0
08/03/2020,La Pampa,0,0
08/03/2020,La Rioja,0,0
08/03/2020,Mendoza,0,0
08/03/2020,Misiones,0,0
08/03/2020,Neuquén,0,0
08/03/2020,Río Negro,0,0
08/03/2020,Salta,0,0
08/03/2020,San Juan,0,0
08/03/2020,San Luis,0,0
08/03/2020,Santa Cruz,0,0
08/03/2020,Santa Fe,0,0
08/03/2020,Santiago del Estero,0,0
08/03/2020,Tierra del Fuego,0,0
08/03/2020,Tucumán,0,0
09/03/2020,Buenos Aires,0,1
09/03/2020,Ciudad de Buenos Aires,1,12
09/03/2020,Catamarca,0,0
09/03/2020,Chaco,2,2
09/03/2020,Chubut,0,0
09/03/2020,Córdoba,0,0
09/03/2020,Corrientes,0,0
09/03/2020,Entre Ríos,0,0
09/03/2020,Formosa,0,0
09/03/2020,Jujuy,0,0
09/03/2020,La Pampa,0,0
09/03/2020,La Rioja,0,0
09/03/2020,Mendoza,0,0
09/03/2020,Misiones,0,0
09/03/2020,Neuquén,0,0
09/03/2020,Río Negro,1,1
09/03/2020,Salta,0,0
09/03/2020,San Juan,0,0
09/03/2020,San Luis,1,1
09/03/2020,Santa Cruz,0,0
09/03/2020,Santa Fe,0,0
09/03/2020,Santiago del Estero,0,0
09/03/2020,Tierra del Fuego,0,0
09/03/2020,Tucumán,0,0
10/03/2020,Buenos Aires,1,2
10/03/2020,Ciudad de Buenos Aires,1,13
10/03/2020,Catamarca,0,0
10/03/2020,Chaco,0,2
10/03/2020,Chubut,0,0
10/03/2020,Córdoba,0,0
10/03/2020,Corrientes,0,0
10/03/2020,Entre Ríos,0,0
10/03/2020,Formosa,0,0
10/03/2020,Jujuy,0,0
10/03/2020,La Pampa,0,0
10/03/2020,La Rioja,0,0
10/03/2020,Mendoza,0,0
10/03/2020,Misiones,0,0
10/03/2020,Neuquén,0,0
10/03/2020,Río Negro,0,1
10/03/2020,Salta,0,0
10/03/2020,San Juan,0,0
10/03/2020,San Luis,0,1
10/03/2020,Santa Cruz,0,0
10/03/2020,Santa Fe,0,0
10/03/2020,Santiago del Estero,0,0
10/03/2020,Tierra del Fuego,0,0
10/03/2020,Tucumán,0,0
11/03/2020,Buenos Aires,1,3
11/03/2020,Ciudad de Buenos Aires,1,14
11/03/2020,Catamarca,0,0
11/03/2020,Chaco,0,2
11/03/2020,Chubut,0,0
11/03/2020,Córdoba,0,0
11/03/2020,Corrientes,0,0
11/03/2020,Entre Ríos,0,0
11/03/2020,Formosa,0,0
11/03/2020,Jujuy,0,0
11/03/2020,La Pampa,0,0
11/03/2020,La Rioja,0,0
11/03/2020,Mendoza,0,0
11/03/2020,Misiones,0,0
11/03/2020,Neuquén,0,0
11/03/2020,Río Negro,0,1
11/03/2020,Salta,0,0
11/03/2020,San Juan,0,0
11/03/2020,San Luis,0,1
11/03/2020,Santa Cruz,0,0
11/03/2020,Santa Fe,0,0
11/03/2020,Santiago del Estero,0,0
11/03/2020,Tierra del Fuego,0,0
11/03/2020,Tucumán,0,0
12/03/2020,Buenos Aires,1,4
12/03/2020,Ciudad de Buenos Aires,1,15
12/03/2020,Catamarca,0,0
12/03/2020,Chaco,1,3
12/03/2020,Chubut,0,0
12/03/2020,Córdoba,1,1
12/03/2020,Corrientes,0,0
12/03/2020,Entre Ríos,0,0
12/03/2020,Formosa,0,0
12/03/2020,Jujuy,0,0
12/03/2020,La Pampa,0,0
12/03/2020,La Rioja,0,0
12/03/2020,Mendoza,0,0
12/03/2020,Misiones,0,0
12/03/2020,Neuquén,0,0
12/03/2020,Río Negro,0,1
12/03/2020,Salta,0,0
12/03/2020,San Juan,0,0
12/03/2020,San Luis,0,1
12/03/2020,Santa Cruz,0,0
12/03/2020,Santa Fe,0,0
12/03/2020,Santiago del Estero,0,0
12/03/2020,Tierra del Fuego,0,0
12/03/2020,Tucumán,0,0
13/03/2020,Buenos Aires,1,5
13/03/2020,Ciudad de Buenos Aires,2,17
13/03/2020,Catamarca,0,0
13/03/2020,Chaco,0,3
13/03/2020,Chubut,0,0
13/03/2020,Córdoba,0,1
13/03/2020,Corrientes,0,0
13/03/2020,Entre Ríos,0,0
13/03/2020,Formosa,0,0
13/03/2020,Jujuy,0,0
13/03/2020,La Pampa,0,0
13/03/2020,La Rioja,0,0
13/03/2020,Mendoza,0,0
13/03/2020,Misiones,0,0
13/03/2020,Neuquén,0,0
13/03/2020,Río Negro,0,1
13/03/2020,Salta,0,0
13/03/2020,San Juan,0,0
13/03/2020,San Luis,0,1
13/03/2020,Santa Cruz,0,0
13/03/2020,Santa Fe,0,0
13/03/2020,Santiago del Estero,0,0
13/03/2020,Tierra del Fuego,0,0
13/03/2020,Tucumán,0,0
14/03/2020,Buenos Aires,1,6
14/03/2020,Ciudad de Buenos Aires,1,18
14/03/2020,Catamarca,0,0
14/03/2020,Chaco,1,4
14/03/2020,Chubut,0,0
14/03/2020,Córdoba,0,1
14/03/2020,Corrientes,0,0
14/03/2020,Entre Ríos,0,0
14/03/2020,Formosa,0,0
14/03/2020,Jujuy,0,0
14/03/2020,La Pampa,0,0
14/03/2020,La Rioja,0,0
14/03/2020,Mendoza,0,0
14/03/2020,Misiones,0,0
14/03/2020,Neuquén,0,0
14/03/2020,Río Negro,0,1
14/03/2020,Salta,0,0
14/03/2020,San Juan,0,0
14/03/2020,San Luis,0,1
14/03/2020,Santa Cruz,0,0
14/03/2020,Santa Fe,1,1
14/03/2020,Santiago del Estero,0,0
14/03/2020,Tierra del Fuego,0,0
14/03/2020,Tucumán,0,0
15/03/2020,Buenos Aires,1,7
15/03/2020,Ciudad de Buenos Aires,6,24
15/03/2020,Catamarca,0,0
15/03/2020,Chaco,2,6
15/03/2020,Chubut,0,0
15/03/2020,Córdoba,0,1
15/03/2020,Corrientes,0,0
15/03/2020,Entre Ríos,0,0
15/03/2020,Formosa,0,0
15/03/2020,Jujuy,0,0
15/03/2020,La Pampa,0,0
15/03/2020,La Rioja,0,0
15/03/2020,Mendoza,0,0
15/03/2020,Misiones,0,0
15/03/2020,Neuquén,0,0
15/03/2020,Río Negro,0,1
15/03/2020,Salta,0,0
15/03/2020,San Juan,0,0
15/03/2020,San Luis,0,1
15/03/2020,Santa Cruz,0,0
15/03/2020,Santa Fe,0,1
15/03/2020,Santiago del Estero,0,0
15/03/2020,Tierra del Fuego,2,2
15/03/2020,Tucumán,0,0
16/03/2020,Buenos Aires,1,8
16/03/2020,Ciudad de Buenos Aires,5,29
16/03/2020,Catamarca,0,0
16/03/2020,Chaco,3,9
16/03/2020,Chubut,0,0
16/03/2020,Córdoba,0,1
16/03/2020,Corrientes,0,0
16/03/2020,Entre Ríos,0,0
16/03/2020,Formosa,0,0
16/03/2020,Jujuy,0,0
16/03/2020,La Pampa,0,0
16/03/2020,La Rioja,0,0
16/03/2020,Mendoza,0,0
16/03/2020,Misiones,0,0
16/03/2020,Neuquén,0,0
16/03/2020,Río Negro,0,1
16/03/2020,Salta,0,0
16/03/2020,San Juan,0,0
16/03/2020,San Luis,0,1
16/03/2020,Santa Cruz,0,0
16/03/2020,Santa Fe,0,1
16/03/2020,Santiago del Estero,0,0
16/03/2020,Tierra del Fuego,0,2
16/03/2020,Tucumán,0,0
17/03/2020,Buenos Aires,2,9
17/03/2020,Ciudad de Buenos Aires,4,28
17/03/2020,Catamarca,0,0
17/03/2020,Chaco,1,7
17/03/2020,Chubut,0,0
17/03/2020,Córdoba,2,3
17/03/2020,Corrientes,0,0
17/03/2020,Entre Ríos,1,1
17/03/2020,Formosa,0,0
17/03/2020,Jujuy,1,1
17/03/2020,La Pampa,0,0
17/03/2020,La Rioja,0,0
17/03/2020,Mendoza,0,0
17/03/2020,Misiones,0,0
17/03/2020,Neuquén,0,0
17/03/2020,Río Negro,1,2
17/03/2020,Salta,1,1
17/03/2020,San Juan,0,0
17/03/2020,San Luis,0,1
17/03/2020,Santa Cruz,1,1
17/03/2020,Santa Fe,0,1
17/03/2020,Santiago del Estero,0,0
17/03/2020,Tierra del Fuego,0,2
17/03/2020,Tucumán,0,0
18/03/2020,Buenos Aires,6,15
18/03/2020,Ciudad de Buenos Aires,10,38
18/03/2020,Catamarca,0,0
18/03/2020,Chaco,1,8
18/03/2020,Chubut,0,0
18/03/2020,Córdoba,1,4
18/03/2020,Corrientes,0,0
18/03/2020,Entre Ríos,1,2
18/03/2020,Formosa,0,0
18/03/2020,Jujuy,0,1
18/03/2020,La Pampa,0,0
18/03/2020,La Rioja,0,0
18/03/2020,Mendoza,0,0
18/03/2020,Misiones,0,0
18/03/2020,Neuquén,0,0
18/03/2020,Río Negro,0,2
18/03/2020,Salta,0,1
18/03/2020,San Juan,0,0
18/03/2020,San Luis,0,1
18/03/2020,Santa Cruz,0,1
18/03/2020,Santa Fe,0,1
18/03/2020,Santiago del Estero,0,0
18/03/2020,Tierra del Fuego,0,2
18/03/2020,Tucumán,0,0
19/03/2020,Buenos Aires,15,30
19/03/2020,Ciudad de Buenos Aires,8,46
19/03/2020,Catamarca,0,0
19/03/2020,Chaco,2,10
19/03/2020,Chubut,0,0
19/03/2020,Córdoba,3,7
19/03/2020,Corrientes,0,0
19/03/2020,Entre Ríos,0,2
19/03/2020,Formosa,0,0
19/03/2020,Jujuy,0,1
19/03/2020,La Pampa,0,0
19/03/2020,La Rioja,0,0
19/03/2020,Mendoza,0,0
19/03/2020,Misiones,0,0
19/03/2020,Neuquén,0,0
19/03/2020,Río Negro,1,3
19/03/2020,Salta,0,1
19/03/2020,San Juan,0,0
19/03/2020,San Luis,0,1
19/03/2020,Santa Cruz,0,1
19/03/2020,Santa Fe,1,2
19/03/2020,Santiago del Estero,0,0
19/03/2020,Tierra del Fuego,0,2
19/03/2020,Tucumán,1,1
20/03/2020,Buenos Aires,9,39
20/03/2020,Ciudad de Buenos Aires,9,55
20/03/2020,Catamarca,0,0
20/03/2020,Chaco,1,11
20/03/2020,Chubut,0,0
20/03/2020,Córdoba,5,12
20/03/2020,Corrientes,1,1
20/03/2020,Entre Ríos,1,3
20/03/2020,Formosa,0,0
20/03/2020,Jujuy,0,1
20/03/2020,La Pampa,0,0
20/03/2020,La Rioja,0,0
20/03/2020,Mendoza,0,0
20/03/2020,Misiones,0,0
20/03/2020,Neuquén,2,2
20/03/2020,Río Negro,0,3
20/03/2020,Salta,0,1
20/03/2020,San Juan,0,0
20/03/2020,San Luis,0,1
20/03/2020,Santa Cruz,0,1
20/03/2020,Santa Fe,0,2
20/03/2020,Santiago del Estero,1,1
20/03/2020,Tierra del Fuego,1,3
20/03/2020,Tucumán,0,1
21/03/2020,Buenos Aires,15,54
21/03/2020,Ciudad de Buenos Aires,29,84
21/03/2020,Catamarca,0,0
21/03/2020,Chaco,5,16
21/03/2020,Chubut,0,0
21/03/2020,Córdoba,4,16
21/03/2020,Corrientes,2,3
21/03/2020,Entre Ríos,0,3
21/03/2020,Formosa,0,0
21/03/2020,Jujuy,0,1
21/03/2020,La Pampa,0,0
21/03/2020,La Rioja,0,0
21/03/2020,Mendoza,5,5
21/03/2020,Misiones,0,0
21/03/2020,Neuquén,0,2
21/03/2020,Río Negro,1,4
21/03/2020,Salta,0,1
21/03/2020,San Juan,0,0
21/03/2020,San Luis,0,1
21/03/2020,Santa Cruz,0,1
21/03/2020,Santa Fe,2,4
21/03/2020,Santiago del Estero,0,1
21/03/2020,Tierra del Fuego,3,6
21/03/2020,Tucumán,1,2
22/03/2020,Buenos Aires,8,62
22/03/2020,Ciudad de Buenos Aires,12,96
22/03/2020,Catamarca,0,0
22/03/2020,Chaco,7,23
22/03/2020,Chubut,0,0
22/03/2020,Córdoba,8,24
22/03/2020,Corrientes,0,3
22/03/2020,Entre Ríos,0,3
22/03/2020,Formosa,0,0
22/03/2020,Jujuy,0,1
22/03/2020,La Pampa,0,0
22/03/2020,La Rioja,0,0
22/03/2020,Mendoza,0,5
22/03/2020,Misiones,1,1
22/03/2020,Neuquén,0,2
22/03/2020,Río Negro,0,4
22/03/2020,Salta,0,1
22/03/2020,San Juan,0,0
22/03/2020,San Luis,0,1
22/03/2020,Santa Cruz,0,1
22/03/2020,Santa Fe,0,4
22/03/2020,Santiago del Estero,0,1
22/03/2020,Tierra del Fuego,0,6
22/03/2020,Tucumán,5,7
23/03/2020,Buenos Aires,5,67
23/03/2020,Ciudad de Buenos Aires,11,107
23/03/2020,Catamarca,0,0
23/03/2020,Chaco,4,27
23/03/2020,Chubut,0,0
23/03/2020,Córdoba,3,27
23/03/2020,Corrientes,0,3
23/03/2020,Entre Ríos,0,3
23/03/2020,Formosa,0,0
23/03/2020,Jujuy,0,1
23/03/2020,La Pampa,0,0
23/03/2020,La Rioja,0,0
23/03/2020,Mendoza,0,5
23/03/2020,Misiones,0,1
23/03/2020,Neuquén,0,2
23/03/2020,Río Negro,0,4
23/03/2020,Salta,0,1
23/03/2020,San Juan,0,0
23/03/2020,San Luis,0,1
23/03/2020,Santa Cruz,0,1
23/03/2020,Santa Fe,13,17
23/03/2020,Santiago del Estero,0,1
23/03/2020,Tierra del Fuego,0,6
23/03/2020,Tucumán,0,7
24/03/2020,Buenos Aires,30,97
24/03/2020,Ciudad de Buenos Aires,30,137
24/03/2020,Catamarca,0,0
24/03/2020,Chaco,9,36
24/03/2020,Chubut,0,0
24/03/2020,Córdoba,7,34
24/03/2020,Corrientes,0,3
24/03/2020,Entre Ríos,0,3
24/03/2020,Formosa,0,0
24/03/2020,Jujuy,0,1
24/03/2020,La Pampa,1,1
24/03/2020,La Rioja,0,0
24/03/2020,Mendoza,0,5
24/03/2020,Misiones,0,1
24/03/2020,Neuquén,1,3
24/03/2020,Río Negro,0,4
24/03/2020,Salta,0,1
24/03/2020,San Juan,0,0
24/03/2020,San Luis,0,1
24/03/2020,Santa Cruz,1,2
24/03/2020,Santa Fe,3,20
24/03/2020,Santiago del Estero,0,1
24/03/2020,Tierra del Fuego,4,10
24/03/2020,Tucumán,0,7
25/03/2020,Buenos Aires,30,127
25/03/2020,Ciudad de Buenos Aires,21,158
25/03/2020,Catamarca,0,0
25/03/2020,Chaco,12,48
25/03/2020,Chubut,0,0
25/03/2020,Córdoba,15,49
25/03/2020,Corrientes,0,3
25/03/2020,Entre Ríos,3,6
25/03/2020,Formosa,0,0
25/03/2020,Jujuy,0,1
25/03/2020,La Pampa,0,1
25/03/2020,La Rioja,0,0
25/03/2020,Mendoza,1,6
25/03/2020,Misiones,0,1
25/03/2020,Neuquén,1,4
25/03/2020,Río Negro,0,4
25/03/2020,Salta,0,1
25/03/2020,San Juan,0,0
25/03/2020,San Luis,4,5
25/03/2020,Santa Cruz,5,7
25/03/2020,Santa Fe,22,42
25/03/2020,Santiago del Estero,0,1
25/03/2020,Tierra del Fuego,1,11
25/03/2020,Tucumán,2,9
26/03/2020,Buenos Aires,27,154
26/03/2020,Ciudad de Buenos Aires,30,188
26/03/2020,Catamarca,0,0
26/03/2020,Chaco,3,51
26/03/2020,Chubut,0,0
26/03/2020,Córdoba,3,52
26/03/2020,Corrientes,0,3
26/03/2020,Entre Ríos,0,6
26/03/2020,Formosa,0,0
26/03/2020,Jujuy,2,3
26/03/2020,La Pampa,0,1
26/03/2020,La Rioja,0,0
26/03/2020,Mendoza,1,7
26/03/2020,Misiones,0,1
26/03/2020,Neuquén,3,7
26/03/2020,Río Negro,0,4
26/03/2020,Salta,0,1
26/03/2020,San Juan,0,0
26/03/2020,San Luis,1,6
26/03/2020,Santa Cruz,2,9
26/03/2020,Santa Fe,12,54
26/03/2020,Santiago del Estero,0,1
26/03/2020,Tierra del Fuego,3,14
26/03/2020,Tucumán,0,9
27/03/2020,Buenos Aires,36,190
27/03/2020,Ciudad de Buenos Aires,43,231
27/03/2020,Catamarca,0,0
27/03/2020,Chaco,3,54
27/03/2020,Chubut,0,0
27/03/2020,Córdoba,5,57
27/03/2020,Corrientes,2,5
27/03/2020,Entre Ríos,3,9
27/03/2020,Formosa,0,0
27/03/2020,Jujuy,0,3
27/03/2020,La Pampa,0,1
27/03/2020,La Rioja,0,0
27/03/2020,Mendoza,1,8
27/03/2020,Misiones,1,2
27/03/2020,Neuquén,4,11
27/03/2020,Río Negro,3,7
27/03/2020,Salta,0,1
27/03/2020,San Juan,0,0
27/03/2020,San Luis,0,6
27/03/2020,Santa Cruz,0,9
27/03/2020,Santa Fe,9,63
27/03/2020,Santiago del Estero,1,2
27/03/2020,Tierra del Fuego,0,14
27/03/2020,Tucumán,6,15
28/03/2020,Buenos Aires,8,198
28/03/2020,Ciudad de Buenos Aires,18,249
28/03/2020,Catamarca,0,0
28/03/2020,Chaco,5,59
28/03/2020,Chubut,0,0
28/03/2020,Córdoba,1,58
28/03/2020,Corrientes,4,9
28/03/2020,Entre Ríos,0,9
28/03/2020,Formosa,0,0
28/03/2020,Jujuy,0,3
28/03/2020,La Pampa,0,1
28/03/2020,La Rioja,0,0
28/03/2020,Mendoza,1,9
28/03/2020,Misiones,0,2
28/03/2020,Neuquén,2,13
28/03/2020,Río Negro,0,7
28/03/2020,Salta,0,1
28/03/2020,San Juan,0,0
28/03/2020,San Luis,-1,5
28/03/2020,Santa Cruz,0,9
28/03/2020,Santa Fe,13,76
28/03/2020,Santiago del Estero,0,2
28/03/2020,Tierra del Fuego,4,18
28/03/2020,Tucumán,0,15
29/03/2020,Buenos Aires,19,217
29/03/2020,Ciudad de Buenos Aires,9,258
29/03/2020,Catamarca,0,0
29/03/2020,Chaco,10,69
29/03/2020,Chubut,0,0
29/03/2020,Córdoba,15,73
29/03/2020,Corrientes,0,9
29/03/2020,Entre Ríos,1,10
29/03/2020,Formosa,0,0
29/03/2020,Jujuy,0,3
29/03/2020,La Pampa,2,3
29/03/2020,La Rioja,1,1
29/03/2020,Mendoza,1,10
29/03/2020,Misiones,0,2
29/03/2020,Neuquén,-1,12
29/03/2020,Río Negro,1,8
29/03/2020,Salta,0,1
29/03/2020,San Juan,1,1
29/03/2020,San Luis,1,6
29/03/2020,Santa Cruz,0,9
29/03/2020,Santa Fe,14,90
29/03/2020,Santiago del Estero,0,2
29/03/2020,Tierra del Fuego,3,21
29/03/2020,Tucumán,0,15
30/03/20,Buenos Aires,36,253
30/03/20,Ciudad de Buenos Aires,34,292
30/03/20,Catamarca,0,0
30/03/20,Chaco,12,81
30/03/20,Chubut,0,0
30/03/20,Córdoba,8,81
30/03/20,Corrientes,10,19
30/03/20,Entre Ríos,3,13
30/03/20,Formosa,0,0
30/03/20,Jujuy,0,3
30/03/20,La Pampa,0,3
30/03/20,La Rioja,0,1
30/03/20,Mendoza,3,13
30/03/20,Misiones,0,2
30/03/20,Neuquén,8,20
30/03/20,Río Negro,0,8
30/03/20,Salta,0,1
30/03/20,San Juan,0,1
30/03/20,San Luis,0,6
30/03/20,Santa Cruz,0,9
30/03/20,Santa Fe,21,111
30/03/20,Santiago del Estero,0,2
30/03/20,Tierra del Fuego,11,32
30/03/20,Tucumán,0,15
31/03/20,Buenos Aires,17,270
31/03/20,Ciudad de Buenos Aires,19,311
31/03/20,Catamarca,0,0
31/03/20,Chaco,3,84
31/03/20,Chubut,0,0
31/03/20,Córdoba,14,95
31/03/20,Corrientes,1,20
31/03/20,Entre Ríos,0,13
31/03/20,Formosa,0,0
31/03/20,Jujuy,0,3
31/03/20,La Pampa,0,3
31/03/20,La Rioja,0,1
31/03/20,Mendoza,2,15
31/03/20,Misiones,1,3
31/03/20,Neuquén,0,20
31/03/20,Río Negro,1,9
31/03/20,Salta,0,1
31/03/20,San Juan,0,1
31/03/20,San Luis,0,6
31/03/20,Santa Cruz,0,9
31/03/20,Santa Fe,22,133
31/03/20,Santiago del Estero,0,2
31/03/20,Tierra del Fuego,7,39
31/03/20,Tucumán,1,16



































